[2025-05-03 20:40:58] [INFO    ] discord.client: logging in using static token
[2025-05-03 20:40:58] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/@me with None has returned 200
[2025-05-03 20:40:58] [DEBUG   ] discord.http: GET /users/@me has found its initial rate limit bucket hash (78bb8553d9352a5a2f89f9def401287a).
[2025-05-03 20:40:58] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/@me has received {'id': '1367541226936598679', 'username': 'Konop_bot', 'avatar': None, 'discriminator': '2258', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'banner_color': None, 'clan': None, 'primary_guild': None, 'mfa_enabled': False, 'locale': 'en-US', 'premium_type': 0, 'email': None, 'verified': True, 'bio': ''}
[2025-05-03 20:40:59] [DEBUG   ] discord.http: GET https://discord.com/api/v10/oauth2/applications/@me with None has returned 200
[2025-05-03 20:40:59] [DEBUG   ] discord.http: GET /oauth2/applications/@me has found its initial rate limit bucket hash (d28a133af187e91d71d96a223467ce49).
[2025-05-03 20:40:59] [DEBUG   ] discord.http: GET https://discord.com/api/v10/oauth2/applications/@me has received {'id': '1367541226936598679', 'name': 'Konop_bot', 'icon': None, 'description': '', 'type': None, 'bot': {'id': '1367541226936598679', 'username': 'Konop_bot', 'avatar': None, 'discriminator': '2258', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}, 'summary': '', 'is_monetized': False, 'is_verified': False, 'is_discoverable': False, 'bot_public': True, 'bot_require_code_grant': False, 'install_params': {'scopes': ['applications.commands'], 'permissions': '0'}, 'integration_types_config': {'0': {'oauth2_install_params': {'scopes': ['applications.commands'], 'permissions': '0'}}, '1': {'oauth2_install_params': {'scopes': ['applications.commands'], 'permissions': '0'}}}, 'verify_key': '270cd16908000e07cff760a0f7c8cbd43dab7ab6432880f86b05c1b53d3837cd', 'flags': 557056, 'hook': True, 'storefront_available': False, 'redirect_uris': [], 'interactions_endpoint_url': None, 'role_connections_verification_url': None, 'owner': {'id': '366063012655923210', 'username': 'lucask5504', 'avatar': 'c539f65f83dea14b0e4ea51e95e3918e', 'discriminator': '0', 'public_flags': 0, 'flags': 0, 'banner': None, 'accent_color': None, 'global_name': 'LucasK', 'avatar_decoration_data': None, 'collectibles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}, 'approximate_guild_count': 1, 'approximate_user_install_count': 0, 'interactions_event_types': [], 'interactions_version': 1, 'explicit_content_filter': 0, 'rpc_application_state': 0, 'store_application_state': 1, 'verification_state': 1, 'integration_public': True, 'integration_require_code_grant': False, 'discoverability_state': 1, 'discovery_eligibility_flags': 224, 'monetization_state': 1, 'verification_eligibility_flags': 91036, 'monetization_eligibility_flags': 181988, 'team': None, 'internal_guild_restriction': 2, 'approved_consoles': []}
[2025-05-03 20:40:59] [DEBUG   ] discord.gateway: Created websocket connected to wss://gateway.discord.gg/
[2025-05-03 20:40:59] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 10, 'd': {'heartbeat_interval': 41250, '_trace': ['["gateway-prd-us-east1-c-rd60",{"micros":0.0}]']}}
[2025-05-03 20:40:59] [DEBUG   ] discord.gateway: Shard ID None has sent the IDENTIFY payload.
[2025-05-03 20:40:59] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2025-05-03 20:40:59] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'READY', 's': 1, 'op': 0, 'd': {'v': 10, 'user_settings': {}, 'user': {'verified': True, 'username': 'Konop_bot', 'primary_guild': None, 'mfa_enabled': False, 'id': '1367541226936598679', 'global_name': None, 'flags': 0, 'email': None, 'discriminator': '2258', 'clan': None, 'bot': True, 'avatar': None}, 'session_type': 'normal', 'session_id': '568fc28b1fc18b246db365ad0008ebcb', 'resume_gateway_url': 'wss://gateway-us-east1-c.discord.gg', 'relationships': [], 'private_channels': [], 'presences': [], 'guilds': [{'unavailable': True, 'id': '1367556586784034907'}], 'guild_join_requests': [], 'geo_ordered_rtc_regions': ['buenos-aires', 'santiago', 'brazil', 'atlanta', 'southafrica'], 'game_relationships': [], 'auth': {}, 'application': {'id': '1367541226936598679', 'flags': 557056}, '_trace': ['["gateway-prd-us-east1-c-rd60",{"micros":123010,"calls":["id_created",{"micros":640,"calls":[]},"session_lookup_time",{"micros":3884,"calls":[]},"session_lookup_finished",{"micros":19,"calls":[]},"discord-sessions-prd-2-122",{"micros":118026,"calls":["start_session",{"micros":108692,"calls":["discord-api-rpc-57b989596-9jbnj",{"micros":94679,"calls":["get_user",{"micros":63033},"get_guilds",{"micros":4561},"send_scheduled_deletion_message",{"micros":6},"guild_join_requests",{"micros":1},"authorized_ip_coro",{"micros":7},"pending_payments",{"micros":1693},"apex_user_experiments",{"micros":2},"user_activities",{"micros":1}]}]},"starting_guild_connect",{"micros":23,"calls":[]},"presence_started",{"micros":1245,"calls":[]},"guilds_started",{"micros":68,"calls":[]},"lobbies_started",{"micros":1,"calls":[]},"guilds_connect",{"micros":1,"calls":[]},"presence_connect",{"micros":7978,"calls":[]},"connect_finished",{"micros":7982,"calls":[]},"build_ready",{"micros":13,"calls":[]},"clean_ready",{"micros":0,"calls":[]},"optimize_ready",{"micros":0,"calls":[]},"split_ready",{"micros":1,"calls":[]}]}]}]']}}
[2025-05-03 20:40:59] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-05-03 20:40:59] [INFO    ] discord.gateway: Shard ID None has connected to Gateway (Session ID: 568fc28b1fc18b246db365ad0008ebcb).
[2025-05-03 20:40:59] [DEBUG   ] discord.client: Dispatching event connect
